preprocess_step,rank,cv_score,feature_selector,selected_features,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,train_accuracy,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_balanced_precision,train_balanced_recall,train_balanced_specificity,train_accuracy_excelente,train_precision_excelente,train_recall_excelente,train_specificity_excelente,train_accuracy_muito_bom,train_precision_muito_bom,train_recall_muito_bom,train_specificity_muito_bom,model_file
SG_1D+MeanCentering,1,0.7076248313090419,lasso,410,350,14,11,1,0.2982454655421977,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-11_min_samples_leaf-1_max_features-0.2982454655421977_bootstrap-False_rank-001.joblib
SG_1D+MeanCentering,2,0.6922402159244265,lasso,410,400,14,11,1,0.30000635927481567,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-11_min_samples_leaf-1_max_features-0.30000635927481567_bootstrap-False_rank-002.joblib
SG_1D+MeanCentering,3,0.6909581646423751,lasso,410,350,14,19,1,0.20773965584033555,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-19_min_samples_leaf-1_max_features-0.20773965584033555_bootstrap-False_rank-003.joblib
SG_1D+MeanCentering,4,0.6884615384615385,lasso,410,350,14,12,2,0.28034884124140036,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-2_max_features-0.28034884124140036_bootstrap-False_rank-004.joblib
SG_1D+MeanCentering,5,0.6807692307692308,lasso,410,350,14,12,2,0.22904682254893116,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-2_max_features-0.22904682254893116_bootstrap-False_rank-005.joblib
SG_1D+MeanCentering,6,0.6807692307692308,lasso,410,350,14,13,1,0.2905258220155821,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-13_min_samples_leaf-1_max_features-0.2905258220155821_bootstrap-False_rank-006.joblib
SG_1D+MeanCentering,7,0.6794871794871795,lasso,410,350,14,12,1,0.21395667530765639,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-1_max_features-0.21395667530765639_bootstrap-False_rank-007.joblib
SG_1D+MeanCentering,8,0.676923076923077,lasso,410,350,14,12,1,0.203068921648505,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-1_max_features-0.203068921648505_bootstrap-False_rank-008.joblib
SG_1D+MeanCentering,9,0.6743589743589744,lasso,410,350,14,12,1,0.281074410213499,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-1_max_features-0.281074410213499_bootstrap-False_rank-009.joblib
SG_1D+MeanCentering,10,0.6713675213675214,lasso,410,350,14,12,2,0.298211136681979,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-2_max_features-0.298211136681979_bootstrap-False_rank-010.joblib
