model,preprocess_step,val_accuracy,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_balanced_precision,val_balanced_recall,val_balanced_specificity,val_accuracy_excelente,val_precision_excelente,val_recall_excelente,val_specificity_excelente,val_accuracy_muito_bom,val_precision_muito_bom,val_recall_muito_bom,val_specificity_muito_bom,rank
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-1_max_features-0.2147582334668411_bootstrap-False_rank-016.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,1
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-2_max_features-0.2801581046398238_bootstrap-False_rank-022.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,2
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-1_max_features-0.2915383544131025_bootstrap-False_rank-025.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,3
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-2_max_features-0.2714773609541786_bootstrap-False_rank-027.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,4
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-2_max_features-0.20878140021790165_bootstrap-False_rank-028.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,5
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-1_max_features-0.23858440516199592_bootstrap-False_rank-041.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,6
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-2_max_features-0.22904682254893116_bootstrap-False_rank-005.joblib,SG_1D+MeanCentering,0.717948717948718,0.7158119658119657,0.717948717948718,0.7038043478260869,0.7038043478260869,0.7083333333333333,0.7038043478260869,0.7038043478260869,0.717948717948718,0.6666666666666666,0.625,0.782608695652174,0.717948717948718,0.75,0.782608695652174,0.625,7
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-1_max_features-0.21833050979812393_bootstrap-False_rank-019.joblib,SG_1D+MeanCentering,0.717948717948718,0.7158119658119657,0.717948717948718,0.7038043478260869,0.7038043478260869,0.7083333333333333,0.7038043478260869,0.7038043478260869,0.717948717948718,0.6666666666666666,0.625,0.782608695652174,0.717948717948718,0.75,0.782608695652174,0.625,8
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-2_max_features-0.20346512802135_bootstrap-False_rank-020.joblib,SG_1D+MeanCentering,0.717948717948718,0.7158119658119657,0.717948717948718,0.7038043478260869,0.7038043478260869,0.7083333333333333,0.7038043478260869,0.7038043478260869,0.717948717948718,0.6666666666666666,0.625,0.782608695652174,0.717948717948718,0.75,0.782608695652174,0.625,9
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-2_max_features-0.20827089436501278_bootstrap-False_rank-037.joblib,SG_1D+MeanCentering,0.717948717948718,0.7158119658119657,0.717948717948718,0.7038043478260869,0.7038043478260869,0.7083333333333333,0.7038043478260869,0.7038043478260869,0.717948717948718,0.6666666666666666,0.625,0.782608695652174,0.717948717948718,0.75,0.782608695652174,0.625,10
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-2_max_features-0.28403360118436755_bootstrap-False_rank-039.joblib,SG_1D+MeanCentering,0.717948717948718,0.7158119658119657,0.717948717948718,0.7038043478260869,0.7038043478260869,0.7083333333333333,0.7038043478260869,0.7038043478260869,0.717948717948718,0.6666666666666666,0.625,0.782608695652174,0.717948717948718,0.75,0.782608695652174,0.625,11
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-1_max_features-0.21395667530765639_bootstrap-False_rank-007.joblib,SG_1D+MeanCentering,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6820652173913043,0.6820652173913043,0.6820652173913043,0.6820652173913043,0.6820652173913043,0.6923076923076923,0.625,0.625,0.7391304347826086,0.6923076923076923,0.7391304347826086,0.7391304347826086,0.625,12
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-1_max_features-0.203068921648505_bootstrap-False_rank-008.joblib,SG_1D+MeanCentering,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6820652173913043,0.6820652173913043,0.6820652173913043,0.6820652173913043,0.6820652173913043,0.6923076923076923,0.625,0.625,0.7391304347826086,0.6923076923076923,0.7391304347826086,0.7391304347826086,0.625,13
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-12_min_samples_leaf-2_max_features-0.298211136681979_bootstrap-False_rank-010.joblib,SG_1D+MeanCentering,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6820652173913043,0.6820652173913043,0.6820652173913043,0.6820652173913043,0.6820652173913043,0.6923076923076923,0.625,0.625,0.7391304347826086,0.6923076923076923,0.7391304347826086,0.7391304347826086,0.625,14
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-14_min_samples_leaf-1_max_features-0.20299438334237963_bootstrap-False_rank-012.joblib,SG_1D+MeanCentering,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6820652173913043,0.6820652173913043,0.6820652173913043,0.6820652173913043,0.6820652173913043,0.6923076923076923,0.625,0.625,0.7391304347826086,0.6923076923076923,0.7391304347826086,0.7391304347826086,0.625,15
