preprocess_step,rank,cv_score,feature_selector,selected_features,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,train_accuracy,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_balanced_precision,train_balanced_recall,train_balanced_specificity,train_accuracy_excelente,train_precision_excelente,train_recall_excelente,train_specificity_excelente,train_accuracy_muito_bom,train_precision_muito_bom,train_recall_muito_bom,train_specificity_muito_bom,model_file
SG_1D+MeanCentering,1,0.7034188034188034,lasso,413,450,15,11,1,0.2584768523294762,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-11_min_samples_leaf-1_max_features-0.2584768523294762_bootstrap-False_rank-001.joblib
SG_1D+MeanCentering,2,0.6935897435897436,lasso,413,450,15,10,1,0.23824454130204895,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.23824454130204895_bootstrap-False_rank-002.joblib
SG_1D+MeanCentering,3,0.6820512820512821,lasso,413,450,15,13,1,0.26044171187973003,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-13_min_samples_leaf-1_max_features-0.26044171187973003_bootstrap-False_rank-003.joblib
SG_1D+MeanCentering,4,0.6782051282051282,lasso,413,450,15,12,1,0.2444541445565949,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-12_min_samples_leaf-1_max_features-0.2444541445565949_bootstrap-False_rank-004.joblib
SG_1D+MeanCentering,5,0.6777552856500225,lasso,413,400,14,14,1,0.2555777245662579,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-14_min_samples_leaf-1_max_features-0.2555777245662579_bootstrap-False_rank-005.joblib
SG_1D+MeanCentering,6,0.676923076923077,lasso,413,350,15,11,1,0.2537868254101146,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-15_min_samples_split-11_min_samples_leaf-1_max_features-0.2537868254101146_bootstrap-False_rank-006.joblib
SG_1D+MeanCentering,7,0.6752136752136751,lasso,413,400,14,11,2,0.2196473040471002,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-11_min_samples_leaf-2_max_features-0.2196473040471002_bootstrap-False_rank-007.joblib
SG_1D+MeanCentering,8,0.6683760683760683,lasso,413,450,15,12,1,0.25150773166170887,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-12_min_samples_leaf-1_max_features-0.25150773166170887_bootstrap-False_rank-008.joblib
SG_1D+MeanCentering,9,0.6675213675213676,lasso,413,450,15,13,1,0.29578099039263556,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-13_min_samples_leaf-1_max_features-0.29578099039263556_bootstrap-False_rank-009.joblib
SG_1D+MeanCentering,10,0.6675213675213676,lasso,413,450,15,10,2,0.34046793905610295,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.34046793905610295_bootstrap-False_rank-010.joblib
SG_1D+MeanCentering,11,0.6650472334682862,lasso,413,400,14,12,2,0.22609384034089372,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-12_min_samples_leaf-2_max_features-0.22609384034089372_bootstrap-False_rank-011.joblib
SG_1D+MeanCentering,12,0.6628205128205129,lasso,413,400,14,10,1,0.2594790674675441,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-10_min_samples_leaf-1_max_features-0.2594790674675441_bootstrap-False_rank-012.joblib
