model,preprocess_step,val_accuracy,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_balanced_precision,val_balanced_recall,val_balanced_specificity,val_accuracy_excelente,val_precision_excelente,val_recall_excelente,val_specificity_excelente,val_accuracy_muito_bom,val_precision_muito_bom,val_recall_muito_bom,val_specificity_muito_bom,rank
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-12_min_samples_leaf-1_max_features-0.2477236979672138_bootstrap-False_rank-036.joblib,SG_1D+MeanCentering,0.7435897435897436,0.7509157509157509,0.7435897435897436,0.7445652173913043,0.7445652173913043,0.7380952380952381,0.7445652173913043,0.7445652173913043,0.7435897435897436,0.6666666666666666,0.75,0.7391304347826086,0.7435897435897436,0.8095238095238095,0.7391304347826086,0.75,1
rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-14_min_samples_leaf-2_max_features-0.27651011181314533_bootstrap-False_rank-043.joblib,SG_1D+MeanCentering,0.717948717948718,0.7309041835357625,0.717948717948718,0.7228260869565217,0.7228260869565217,0.7157894736842105,0.7228260869565217,0.7228260869565217,0.717948717948718,0.631578947368421,0.75,0.6956521739130435,0.717948717948718,0.8,0.6956521739130435,0.75,2
rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-13_min_samples_leaf-1_max_features-0.26044171187973003_bootstrap-False_rank-003.joblib,SG_1D+MeanCentering,0.7435897435897436,0.7435897435897436,0.7435897435897436,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7435897435897436,0.6875,0.6875,0.782608695652174,0.7435897435897436,0.782608695652174,0.782608695652174,0.6875,3
rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.34046793905610295_bootstrap-False_rank-010.joblib,SG_1D+MeanCentering,0.7435897435897436,0.7435897435897436,0.7435897435897436,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7435897435897436,0.6875,0.6875,0.782608695652174,0.7435897435897436,0.782608695652174,0.782608695652174,0.6875,4
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-15_min_samples_split-11_min_samples_leaf-1_max_features-0.2559978445120499_bootstrap-False_rank-016.joblib,SG_1D+MeanCentering,0.7435897435897436,0.7435897435897436,0.7435897435897436,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7435897435897436,0.6875,0.6875,0.782608695652174,0.7435897435897436,0.782608695652174,0.782608695652174,0.6875,5
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.2595179160891708_bootstrap-False_rank-029.joblib,SG_1D+MeanCentering,0.7435897435897436,0.7435897435897436,0.7435897435897436,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7435897435897436,0.6875,0.6875,0.782608695652174,0.7435897435897436,0.782608695652174,0.782608695652174,0.6875,6
rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-12_min_samples_leaf-1_max_features-0.2296803703473449_bootstrap-False_rank-041.joblib,SG_1D+MeanCentering,0.7435897435897436,0.7435897435897436,0.7435897435897436,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7435897435897436,0.6875,0.6875,0.782608695652174,0.7435897435897436,0.782608695652174,0.782608695652174,0.6875,7
rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-13_min_samples_leaf-1_max_features-0.29578099039263556_bootstrap-False_rank-009.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,8
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-10_min_samples_leaf-1_max_features-0.2594790674675441_bootstrap-False_rank-012.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,9
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.25023281751045895_bootstrap-False_rank-014.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,10
