preprocess_step,rank,cv_score,feature_selector,selected_features,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,train_accuracy,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_balanced_precision,train_balanced_recall,train_balanced_specificity,train_accuracy_excelente,train_precision_excelente,train_recall_excelente,train_specificity_excelente,train_accuracy_muito_bom,train_precision_muito_bom,train_recall_muito_bom,train_specificity_muito_bom,model_file
SG_1D+MeanCentering,21,0.6487179487179487,lasso,414,400,15,10,2,0.32475568262805476,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.32475568262805476_bootstrap-False_rank-021.joblib
SG_1D+MeanCentering,22,0.6487179487179487,lasso,414,400,15,10,2,0.33220606821251303,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.33220606821251303_bootstrap-False_rank-022.joblib
SG_1D+MeanCentering,23,0.6465811965811966,lasso,414,400,15,10,2,0.3475258880813485,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.3475258880813485_bootstrap-False_rank-023.joblib
SG_1D+MeanCentering,24,0.6461538461538462,lasso,414,450,14,10,2,0.30515931650068584,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-10_min_samples_leaf-2_max_features-0.30515931650068584_bootstrap-False_rank-024.joblib
SG_1D+MeanCentering,25,0.6448717948717949,lasso,414,450,15,18,2,0.3265749875271973,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-18_min_samples_leaf-2_max_features-0.3265749875271973_bootstrap-False_rank-025.joblib
SG_1D+MeanCentering,26,0.6448717948717949,lasso,414,400,15,10,2,0.3274690522402007,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.3274690522402007_bootstrap-False_rank-026.joblib
SG_1D+MeanCentering,27,0.6448717948717949,lasso,414,400,15,10,2,0.3155789896953447,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.3155789896953447_bootstrap-False_rank-027.joblib
SG_1D+MeanCentering,28,0.6448717948717948,lasso,414,400,15,14,1,0.2600033854459364,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-14_min_samples_leaf-1_max_features-0.2600033854459364_bootstrap-False_rank-028.joblib
SG_1D+MeanCentering,29,0.6448043184885289,lasso,414,450,15,10,2,0.33607650358715696,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.33607650358715696_bootstrap-False_rank-029.joblib
SG_1D+MeanCentering,30,0.6435897435897436,lasso,414,450,14,10,2,0.32821843368942216,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-10_min_samples_leaf-2_max_features-0.32821843368942216_bootstrap-False_rank-030.joblib
SG_1D+MeanCentering,31,0.6435897435897435,lasso,414,400,15,14,2,0.2559833728710251,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-14_min_samples_leaf-2_max_features-0.2559833728710251_bootstrap-False_rank-031.joblib
SG_1D+MeanCentering,32,0.6423076923076924,lasso,414,450,15,10,2,0.30520294519562124,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.30520294519562124_bootstrap-False_rank-032.joblib
SG_1D+MeanCentering,33,0.6384615384615385,lasso,414,400,15,11,2,0.33117030348612664,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-11_min_samples_leaf-2_max_features-0.33117030348612664_bootstrap-False_rank-033.joblib
SG_1D+MeanCentering,34,0.6384615384615385,lasso,414,450,15,11,1,0.34678154048154336,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-11_min_samples_leaf-1_max_features-0.34678154048154336_bootstrap-False_rank-034.joblib
