preprocess_step,rank,cv_score,feature_selector,selected_features,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,train_accuracy,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_balanced_precision,train_balanced_recall,train_balanced_specificity,train_accuracy_excelente,train_precision_excelente,train_recall_excelente,train_specificity_excelente,train_accuracy_muito_bom,train_precision_muito_bom,train_recall_muito_bom,train_specificity_muito_bom,model_file
SG_1D+MeanCentering,1,0.6935222672064778,lasso,410,400,15,10,1,0.20669946628944585,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.20669946628944585_bootstrap-False_rank-001.joblib
SG_1D+MeanCentering,2,0.6769230769230768,lasso,410,400,15,10,1,0.21695606998077294,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.21695606998077294_bootstrap-False_rank-002.joblib
SG_1D+MeanCentering,3,0.6743589743589744,lasso,410,400,15,11,1,0.2410117297675405,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-11_min_samples_leaf-1_max_features-0.2410117297675405_bootstrap-False_rank-003.joblib
SG_1D+MeanCentering,4,0.6713675213675214,lasso,410,400,14,10,1,0.23296127994102397,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-10_min_samples_leaf-1_max_features-0.23296127994102397_bootstrap-False_rank-004.joblib
SG_1D+MeanCentering,5,0.6713675213675214,lasso,410,400,15,13,1,0.22133544312499717,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-13_min_samples_leaf-1_max_features-0.22133544312499717_bootstrap-False_rank-005.joblib
SG_1D+MeanCentering,6,0.6688034188034188,lasso,410,400,15,11,1,0.29808425222968515,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-11_min_samples_leaf-1_max_features-0.29808425222968515_bootstrap-False_rank-006.joblib
SG_1D+MeanCentering,7,0.6657444894287,lasso,410,400,14,11,1,0.3241406628364563,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-11_min_samples_leaf-1_max_features-0.3241406628364563_bootstrap-False_rank-007.joblib
SG_1D+MeanCentering,8,0.6632478632478633,lasso,410,400,15,10,1,0.2042275503451403,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.2042275503451403_bootstrap-False_rank-008.joblib
SG_1D+MeanCentering,9,0.6628205128205128,lasso,410,400,15,11,2,0.20346803766744265,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-11_min_samples_leaf-2_max_features-0.20346803766744265_bootstrap-False_rank-009.joblib
SG_1D+MeanCentering,10,0.6615384615384615,lasso,410,400,15,11,1,0.2177798618891694,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-11_min_samples_leaf-1_max_features-0.2177798618891694_bootstrap-False_rank-010.joblib
