model,preprocess_step,val_accuracy,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_balanced_precision,val_balanced_recall,val_balanced_specificity,val_accuracy_excelente,val_precision_excelente,val_recall_excelente,val_specificity_excelente,val_accuracy_muito_bom,val_precision_muito_bom,val_recall_muito_bom,val_specificity_muito_bom,rank
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.2042275503451403_bootstrap-False_rank-008.joblib,SG_1D+MeanCentering,0.7692307692307693,0.772110242698478,0.7692307692307693,0.7663043478260869,0.7663043478260869,0.7620320855614974,0.7663043478260869,0.7663043478260869,0.7692307692307693,0.7058823529411765,0.75,0.782608695652174,0.7692307692307693,0.8181818181818182,0.782608695652174,0.75,1
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-11_min_samples_leaf-1_max_features-0.21048021991943217_bootstrap-False_rank-021.joblib,SG_1D+MeanCentering,0.7435897435897436,0.7509157509157509,0.7435897435897436,0.7445652173913043,0.7445652173913043,0.7380952380952381,0.7445652173913043,0.7445652173913043,0.7435897435897436,0.6666666666666666,0.75,0.7391304347826086,0.7435897435897436,0.8095238095238095,0.7391304347826086,0.75,2
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-11_min_samples_leaf-1_max_features-0.2887923250490061_bootstrap-False_rank-032.joblib,SG_1D+MeanCentering,0.7435897435897436,0.7509157509157509,0.7435897435897436,0.7445652173913043,0.7445652173913043,0.7380952380952381,0.7445652173913043,0.7445652173913043,0.7435897435897436,0.6666666666666666,0.75,0.7391304347826086,0.7435897435897436,0.8095238095238095,0.7391304347826086,0.75,3
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-12_min_samples_leaf-1_max_features-0.2234078092715844_bootstrap-False_rank-040.joblib,SG_1D+MeanCentering,0.7435897435897436,0.7509157509157509,0.7435897435897436,0.7445652173913043,0.7445652173913043,0.7380952380952381,0.7445652173913043,0.7445652173913043,0.7435897435897436,0.6666666666666666,0.75,0.7391304347826086,0.7435897435897436,0.8095238095238095,0.7391304347826086,0.75,4
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.21695606998077294_bootstrap-False_rank-002.joblib,SG_1D+MeanCentering,0.7435897435897436,0.7435897435897436,0.7435897435897436,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7435897435897436,0.6875,0.6875,0.782608695652174,0.7435897435897436,0.782608695652174,0.782608695652174,0.6875,5
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-11_min_samples_leaf-2_max_features-0.20346803766744265_bootstrap-False_rank-009.joblib,SG_1D+MeanCentering,0.7435897435897436,0.7435897435897436,0.7435897435897436,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7435897435897436,0.6875,0.6875,0.782608695652174,0.7435897435897436,0.782608695652174,0.782608695652174,0.6875,6
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-11_min_samples_leaf-1_max_features-0.22528358845109003_bootstrap-False_rank-041.joblib,SG_1D+MeanCentering,0.7435897435897436,0.7435897435897436,0.7435897435897436,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7435897435897436,0.6875,0.6875,0.782608695652174,0.7435897435897436,0.782608695652174,0.782608695652174,0.6875,7
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-11_min_samples_leaf-1_max_features-0.30194765732399365_bootstrap-False_rank-023.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,8
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-13_min_samples_leaf-1_max_features-0.21715465926889746_bootstrap-False_rank-033.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,9
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-15_min_samples_split-11_min_samples_leaf-1_max_features-0.21069049409783275_bootstrap-False_rank-037.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,10
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-11_min_samples_leaf-1_max_features-0.21172673482105203_bootstrap-False_rank-046.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,11
