model,preprocess_step,val_accuracy,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_balanced_precision,val_balanced_recall,val_balanced_specificity,val_accuracy_excelente,val_precision_excelente,val_recall_excelente,val_specificity_excelente,val_accuracy_muito_bom,val_precision_muito_bom,val_recall_muito_bom,val_specificity_muito_bom,rank
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-10_min_samples_leaf-1_max_features-0.32188104371872817_bootstrap-False_rank-048.joblib,SG_1D+MeanCentering,0.717948717948718,0.7309041835357625,0.717948717948718,0.7228260869565217,0.7228260869565217,0.7157894736842105,0.7228260869565217,0.7228260869565217,0.717948717948718,0.631578947368421,0.75,0.6956521739130435,0.717948717948718,0.8,0.6956521739130435,0.75,1
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-10_min_samples_leaf-1_max_features-0.2868804360840494_bootstrap-False_rank-024.joblib,SG_1D+MeanCentering,0.7435897435897436,0.7435897435897436,0.7435897435897436,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7350543478260869,0.7435897435897436,0.6875,0.6875,0.782608695652174,0.7435897435897436,0.782608695652174,0.782608695652174,0.6875,2
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-15_min_samples_split-13_min_samples_leaf-1_max_features-0.30906901813589793_bootstrap-False_rank-039.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,3
rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.30687864842479823_bootstrap-False_rank-049.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,4
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-11_min_samples_leaf-1_max_features-0.3275979055429106_bootstrap-False_rank-044.joblib,SG_1D+MeanCentering,0.6923076923076923,0.7000407000407,0.6923076923076923,0.6915760869565217,0.6915760869565217,0.6865079365079365,0.6915760869565217,0.6915760869565217,0.6923076923076923,0.6111111111111112,0.6875,0.6956521739130435,0.6923076923076923,0.7619047619047619,0.6956521739130435,0.6875,5
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.20954517234117456_bootstrap-False_rank-009.joblib,SG_1D+MeanCentering,0.717948717948718,0.7158119658119657,0.717948717948718,0.7038043478260869,0.7038043478260869,0.7083333333333333,0.7038043478260869,0.7038043478260869,0.717948717948718,0.6666666666666666,0.625,0.782608695652174,0.717948717948718,0.75,0.782608695652174,0.625,6
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.209413644845699_bootstrap-False_rank-010.joblib,SG_1D+MeanCentering,0.717948717948718,0.7158119658119657,0.717948717948718,0.7038043478260869,0.7038043478260869,0.7083333333333333,0.7038043478260869,0.7038043478260869,0.717948717948718,0.6666666666666666,0.625,0.782608695652174,0.717948717948718,0.75,0.782608695652174,0.625,7
rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-10_min_samples_leaf-1_max_features-0.27204400578543436_bootstrap-False_rank-015.joblib,SG_1D+MeanCentering,0.717948717948718,0.7158119658119657,0.717948717948718,0.7038043478260869,0.7038043478260869,0.7083333333333333,0.7038043478260869,0.7038043478260869,0.717948717948718,0.6666666666666666,0.625,0.782608695652174,0.717948717948718,0.75,0.782608695652174,0.625,8
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.219900334725122_bootstrap-False_rank-031.joblib,SG_1D+MeanCentering,0.717948717948718,0.7158119658119657,0.717948717948718,0.7038043478260869,0.7038043478260869,0.7083333333333333,0.7038043478260869,0.7038043478260869,0.717948717948718,0.6666666666666666,0.625,0.782608695652174,0.717948717948718,0.75,0.782608695652174,0.625,9
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.3385980918616314_bootstrap-False_rank-004.joblib,SG_1D+MeanCentering,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6820652173913043,0.6820652173913043,0.6820652173913043,0.6820652173913043,0.6820652173913043,0.6923076923076923,0.625,0.625,0.7391304347826086,0.6923076923076923,0.7391304347826086,0.7391304347826086,0.625,10
