preprocess_step,rank,cv_score,feature_selector,selected_features,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,train_accuracy,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_balanced_precision,train_balanced_recall,train_balanced_specificity,train_accuracy_excelente,train_precision_excelente,train_recall_excelente,train_specificity_excelente,train_accuracy_muito_bom,train_precision_muito_bom,train_recall_muito_bom,train_specificity_muito_bom,model_file
SG_1D+MeanCentering,1,0.6935897435897436,lasso,412,450,14,11,1,0.247369337406775,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-11_min_samples_leaf-1_max_features-0.247369337406775_bootstrap-False_rank-001.joblib
SG_1D+MeanCentering,2,0.6922402159244264,lasso,412,350,15,10,1,0.26481674040609915,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.26481674040609915_bootstrap-False_rank-002.joblib
SG_1D+MeanCentering,3,0.6837606837606838,lasso,412,400,15,10,1,0.34579067808196734,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.34579067808196734_bootstrap-False_rank-003.joblib
SG_1D+MeanCentering,4,0.6794871794871795,lasso,412,400,15,10,1,0.3385980918616314,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.3385980918616314_bootstrap-False_rank-004.joblib
SG_1D+MeanCentering,5,0.6782051282051282,lasso,412,400,14,10,1,0.20459323897748377,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-10_min_samples_leaf-1_max_features-0.20459323897748377_bootstrap-False_rank-005.joblib
SG_1D+MeanCentering,6,0.676923076923077,lasso,412,350,14,11,1,0.3126882892718054,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-11_min_samples_leaf-1_max_features-0.3126882892718054_bootstrap-False_rank-006.joblib
SG_1D+MeanCentering,7,0.6760683760683761,lasso,412,350,15,10,1,0.20382715377809785,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.20382715377809785_bootstrap-False_rank-007.joblib
SG_1D+MeanCentering,8,0.6756410256410257,lasso,412,400,14,10,1,0.2057256706408502,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-10_min_samples_leaf-1_max_features-0.2057256706408502_bootstrap-False_rank-008.joblib
SG_1D+MeanCentering,9,0.6755735492577597,lasso,412,400,15,10,1,0.20954517234117456,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.20954517234117456_bootstrap-False_rank-009.joblib
SG_1D+MeanCentering,10,0.6678812415654521,lasso,412,350,15,10,1,0.209413644845699,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.209413644845699_bootstrap-False_rank-010.joblib
SG_1D+MeanCentering,11,0.6650472334682861,lasso,412,450,15,10,1,0.28042302889082726,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.28042302889082726_bootstrap-False_rank-011.joblib
SG_1D+MeanCentering,12,0.6628205128205128,lasso,412,350,14,13,1,0.26584247205753575,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-13_min_samples_leaf-1_max_features-0.26584247205753575_bootstrap-False_rank-012.joblib
SG_1D+MeanCentering,13,0.6628205128205128,lasso,412,400,15,10,1,0.20972458146596432,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.20972458146596432_bootstrap-False_rank-013.joblib
SG_1D+MeanCentering,14,0.6615384615384615,lasso,412,400,15,10,1,0.32018410249300905,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-1_max_features-0.32018410249300905_bootstrap-False_rank-014.joblib
SG_1D+MeanCentering,15,0.6615384615384615,lasso,412,350,14,10,1,0.27204400578543436,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-10_min_samples_leaf-1_max_features-0.27204400578543436_bootstrap-False_rank-015.joblib
